Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
1,-99.80582600537153,-99.80582600537153,3,3.0,0,0.0,,,,,,,,,
2,-99.32808376791782,-99.56695488664468,5,4.0,0,0.0,,,,,,,,,
3,-186.27078969174886,-128.46823315501274,16,8.0,0,0.0,,,,,,,,,
4,-100.01,-121.35367486625955,1,6.25,0,0.0,,,,,,,,,
5,-100.01,-117.08493989300764,1,5.2,0,0.0,,,,,,,,,
6,-99.92012169749133,-114.2241368604216,2,4.666666666666667,0,0.0,,,,,,,,,
7,-212.12473145954948,-128.20993608886843,10,5.428571428571429,0,0.0,,,,,,,,,
8,-100.01,-124.68494407775988,1,4.875,0,0.0,,,,,,,,,
9,-100.01,-121.94328362467546,1,4.444444444444445,0,0.0,,,,,,,,,
10,-99.7440500560161,-119.72336026780951,2,4.2,0,0.0,,,,,,,,,
11,-94.33147921184373,-117.41500744453991,5,4.2727272727272725,0,0.0,,,,,,,,,
12,-100.01,-115.96459015749491,1,4.0,0,0.0,,,,,,,,,
13,-100.01,-114.73731399153377,1,3.769230769230769,0,0.0,,,,,,,,,
14,-99.80615845295846,-113.67080288163552,3,3.7142857142857144,0,0.0,,,,,,,,,
15,-128.50030130003603,-114.6594361095289,4,3.7333333333333334,0,0.0,,,,,,,,,
16,-100.01,-113.74384635268333,1,3.5625,0,0.0,,,,,,,,,
17,-100.01,-112.93597303781961,1,3.411764705882353,0,0.0,,,,,,,,,
18,-99.9202824565877,-112.21287911664007,2,3.3333333333333335,0,0.0,,,,,,,,,
19,-100.01,-111.57062232102743,1,3.210526315789474,0,0.0,,,,,,,,,
20,-103.97236987565152,-111.19070969875864,9,3.5,0,0.0,,,,,,,,,
21,-100.01,-110.65829495119871,1,3.380952380952381,0,0.0,,,,,,,,,
22,-100.01,-110.17428154432605,1,3.272727272727273,0,0.0,,,,,,,,,
23,-98.00579155665147,-109.64521676225323,3,3.260869565217391,0,0.0,,,,,,,,,
24,-114.7450936991642,-109.85771163462452,2,3.2083333333333335,0,0.0,,,,,,,,,
25,-114.63193905923977,-110.04868073160912,3,3.2,0,0.0,,,,,,,,,
26,-99.91873485901885,-109.6590674288172,2,3.1538461538461537,0,0.0,,,,,,,,,
27,-99.91855430449688,-109.298307683472,2,3.111111111111111,0,0.0,,,,,,,,,
28,-94.79952470799202,-108.78049400577629,6,3.2142857142857144,0,0.0,,,,,,,,,
29,-100.01,-108.4780631779909,1,3.1379310344827585,0,0.0,,,,,,,,,
30,-99.9189878296769,-108.19276066638045,2,3.1,0,0.0,,,,,,,,,
31,-99.91886937144861,-107.9258609471891,2,3.064516129032258,0,0.0,,,,,,,,,
32,-100.01,-107.67849029258942,1,3.0,0,0.0,,,,,,,,,
33,-169.46474278943543,-109.55080097431203,9,3.1818181818181817,0,0.0,,,,,,,,,
34,-99.80731014613355,-109.26422771465973,3,3.176470588235294,0,0.0,,,,,,,,,
35,-99.67280940794193,-108.99018719161063,4,3.2,0,0.0,,,,,,,,,
36,-99.72102696530075,-108.73271051865758,2,3.1666666666666665,0,0.0,,,,,,,,,
37,-114.71477879928813,-108.8943880397557,4,3.189189189189189,0,0.0,,,,,,,,,
38,-100.01,-108.66058835449897,1,3.1315789473684212,0,0.0,,,,,,,,,
39,-114.72149415694615,-108.81599619558736,4,3.1538461538461537,0,0.0,,,,,,,,,
40,-100.01,-108.59584629069768,1,3.1,0,0.0,,,,,,,,,
41,-99.80582600537153,-108.38145555203118,3,3.097560975609756,0,0.0,,,,,,,,,
42,-100.01,-108.18213518174473,1,3.0476190476190474,0,0.0,,,,,,,,,
43,-99.80496149865336,-107.98731718911469,3,3.046511627906977,0,0.0,,,,,,,,,
44,-92.32931750999089,-107.6314535600437,10,3.2045454545454546,0,0.0,,,,,,,,,
45,-100.01,-107.46208792537605,1,3.1555555555555554,0,0.0,,,,,,,,,
46,-100.01,-107.30008601395484,1,3.108695652173913,0,0.0,,,,,,,,,
47,-109.89561671431305,-107.35531007140928,3,3.106382978723404,0,0.0,,,,,,,,,
48,-100.01,-107.20228277825493,1,3.0625,0,0.0,,,,,,,,,
49,-99.80446888270141,-107.05130698446811,3,3.061224489795918,0,0.0,,,,,,,,,
50,-99.91957784274477,-106.90867240163365,2,3.04,0,0.0,,,,,,,,,
51,-100.01,-106.77340431532711,1,3.0,0,0.0,,,,,,,,,
52,-99.92086811178521,-106.6416247729513,2,2.980769230769231,0,0.0,,,,,,,,,
53,-99.8082414687073,-106.51269301249387,3,2.981132075471698,0,0.0,,,,,,,,,
54,-99.9202824565877,-106.39061133553263,2,2.962962962962963,0,0.0,,,,,,,,,
55,-100.01,-106.27460022034113,1,2.9272727272727272,0,0.0,,,,,,,,,
56,-99.91981700929001,-106.1611219487152,2,2.9107142857142856,0,0.0,,,,,,,,,
57,-100.01,-106.05320752856231,1,2.8771929824561404,0,0.0,,,,,,,,,
58,-128.7010226957363,-106.44368710041014,3,2.8793103448275863,0,0.0,,,,,,,,,
59,-113.92406595547696,-106.57047318269942,3,2.8813559322033897,0,0.0,,,,,,,,,
60,-99.72009115756241,-106.45630014894714,2,2.8666666666666667,0,0.0,,,,,,,,,
61,-100.01,-106.35062309732506,1,2.8360655737704916,0,0.0,,,,,,,,,
62,-99.85433230017702,-106.24584421350009,3,2.838709677419355,0,0.0,,,,,,,,,
63,-99.67034660505146,-106.1414712355882,4,2.857142857142857,0,0.0,,,,,,,,,
64,-114.74484594938032,-106.2758989654912,2,2.84375,0,0.0,,,,,,,,,
65,-100.01,-106.17950051986826,1,2.8153846153846156,0,0.0,,,,,,,,,
66,-100.01,-106.0860232392642,1,2.787878787878788,0,0.0,,,,,,,,,
67,-142.203334738735,-106.62508759000256,6,2.8358208955223883,0,0.0,,,,,,,,,
68,-154.74583273751585,-107.33274560687776,8,2.911764705882353,0,0.0,,,,,,,,,
69,-99.80381509642658,-107.2236306719437,3,2.9130434782608696,0,0.0,,,,,,,,,
70,-99.91947602099624,-107.11928560550159,2,2.9,0,0.0,,,,,,,,,
71,-100.01,-107.01915482232552,1,2.8732394366197185,0,0.0,,,,,,,,,
72,-100.01,-106.9218054497932,1,2.8472222222222223,0,0.0,,,,,,,,,
73,-114.71703759656508,-107.02858945180377,4,2.863013698630137,0,0.0,,,,,,,,,
74,-100.01,-106.93374364840102,1,2.8378378378378377,0,0.0,,,,,,,,,
75,-100.01,-106.84142706642234,1,2.8133333333333335,0,0.0,,,,,,,,,
76,-99.66493586724759,-106.74699955064372,4,2.8289473684210527,0,0.0,,,,,,,,,
77,-99.6662276365031,-106.6550414738367,4,2.844155844155844,0,0.0,,,,,,,,,
78,-100.01,-106.56984863442855,1,2.8205128205128207,0,0.0,,,,,,,,,
79,-100.01,-106.4868125757649,1,2.7974683544303796,0,0.0,,,,,,,,,
80,-100.01,-106.40585241856783,1,2.775,0,0.0,,,,,,,,,
81,-157.36488062335258,-107.03497622356518,8,2.8395061728395063,0,0.0,,,,,,,,,
82,-100.01,-106.94930578181439,1,2.817073170731707,0,0.0,,,,,,,,,
83,-99.50752837146901,-106.85964581301504,5,2.8433734939759034,0,0.0,,,,,,,,,
84,-114.51123106512252,-106.95073611363536,5,2.869047619047619,0,0.0,,,,,,,,,
85,-99.92004729553813,-106.8680221275401,2,2.8588235294117648,0,0.0,,,,,,,,,
86,-99.92101017279434,-106.787242918764,2,2.8488372093023258,0,0.0,,,,,,,,,
87,-99.92009115756241,-106.70831013989961,2,2.839080459770115,0,0.0,,,,,,,,,
88,-99.96907877243478,-106.63172796526929,2,2.8295454545454546,0,0.0,,,,,,,,,
89,-157.41545315669396,-107.20233161910554,8,2.8876404494382024,0,0.0,,,,,,,,,
90,-100.01,-107.1224168233377,1,2.8666666666666667,0,0.0,,,,,,,,,
91,-100.01,-107.04425839670762,1,2.8461538461538463,0,0.0,,,,,,,,,
92,-99.67098854425703,-106.964114159181,4,2.858695652173913,0,0.0,,,,,,,,,
93,-142.51981913069463,-107.34643356747684,7,2.903225806451613,0,0.0,,,,,,,,,
94,-114.63159947727826,-107.42393533247473,3,2.904255319148936,0,0.0,,,,,,,,,
95,-100.01,-107.34589390792236,1,2.8842105263157896,0,0.0,,,,,,,,,
96,-100.01,-107.26947834638149,1,2.8645833333333335,0,0.0,,,,,,,,,
97,-142.86066606275745,-107.63639780737505,4,2.8762886597938144,0,0.0,,,,,,,,,
