Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
1,-100.01,-100.01,1,1.0,0,0.0,,0.0,0.0,,,0.0,,,
2,-100.01,-100.01,1,1.0,0,0.0,,0.0,0.0,,,0.0,,,
3,-98.74481937059096,-99.58827312353033,3,1.6666666666666667,0,0.0,,0.0,0.0,,,0.0,,,
4,-99.74484934716912,-99.62741717944003,2,1.75,0,0.0,,0.0,0.0,,,0.0,,,
5,-100.01,-99.70393374355203,1,1.6,0,0.0,,0.0,0.0,,,0.0,,,
6,-100.01,-99.75494478629336,1,1.5,0,0.0,,0.0,0.0,,,0.0,,,
7,-98.17387822490495,-99.52907813466643,6,2.142857142857143,0,0.0,,0.0,0.0,,,0.0,,,
8,-99.91939742818712,-99.57786804635651,2,2.125,0,0.0,,0.0,0.0,,,0.0,,,
9,-99.91905603748356,-99.6157778231484,2,2.111111111111111,0,0.0,,0.0,0.0,,,0.0,,,
10,-99.80731014613355,-99.63493105544691,3,2.2,0,0.0,,0.0,0.0,,,0.0,,,
11,-100.01,-99.66902823222448,1,2.090909090909091,0,0.0,,0.0,0.0,,,0.0,,,
12,-113.96540579044589,-100.86039302874292,6,2.4166666666666665,0,0.0,,0.0,0.0,,,0.0,,,
13,-100.01,-100.79497818037808,1,2.3076923076923075,0,0.0,,0.0,0.0,,,0.0,,,
14,-100.01,-100.73890831035108,1,2.2142857142857144,0,0.0,,0.0,0.0,,,0.0,,,
15,-100.01,-100.69031442299433,1,2.1333333333333333,0,0.0,,0.0,0.0,,,0.0,,,
16,-99.8073588760837,-100.63512970131244,3,2.1875,0,0.0,,0.0,0.0,,,0.0,,,
17,-156.92253843257592,-103.94615374432794,5,2.3529411764705883,0,0.0,,0.0,0.0,,,0.0,,,
18,-99.9202824565877,-103.72249422834237,2,2.3333333333333335,0,0.0,,0.0,0.0,,,0.0,,,
19,-99.91990598356638,-103.52235800493311,2,2.3157894736842106,0,0.0,,0.0,0.0,,,0.0,,,
20,-114.86359664428139,-104.08941993690053,4,2.4,0,0.0,,0.0,0.0,,,0.0,,,
21,-99.91990598356638,-103.89087165340842,2,2.380952380952381,0,0.0,,0.0,0.0,,,0.0,,,
22,-99.91960181823018,-103.71035938817305,2,2.3636363636363638,0,0.0,,0.0,0.0,,,0.0,,,
23,-100.01,-103.54947419738292,1,2.3043478260869565,0,0.0,,0.0,0.0,,,0.0,,,
24,-127.07982434303739,-104.52990545345183,4,2.375,0,0.0,,0.0,0.0,,,0.0,,,
25,-100.01,-104.34910923531378,1,2.32,0,0.0,,0.0,0.0,,,0.0,,,
26,-96.92253843257593,-104.06347189674693,5,2.423076923076923,0,0.0,,0.0,0.0,,,0.0,,,
27,-155.97504644404168,-105.98612280590599,5,2.5185185185185186,0,0.0,,-0.0002331119030714035,4670.048421223958,,,1.037597080071767,,,
