Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
1,-100.01,-100.01,1,1.0,0,0.0,,,,,,,,,
2,-99.9189878296769,-99.96449391483844,2,1.5,0,0.0,,,,,,,,,
3,-99.80424885908324,-99.91107889625339,3,2.0,0,0.0,,,,,,,,,
4,-100.01,-99.93580917219003,1,1.75,0,0.0,,,,,,,,,
5,-114.6309290035846,-102.87483313846894,3,2.0,0,0.0,,,,,,,,,
6,-99.92070028258149,-102.3824776624877,2,2.0,0,0.0,,,,,,,,,
7,-114.66404025885761,-104.13698660482626,4,2.2857142857142856,0,0.0,,,,,,,,,
8,-99.79470829678702,-103.59420181632136,2,2.25,0,0.0,,,,,,,,,
9,-99.80620548482639,-103.17331333504414,3,2.3333333333333335,0,0.0,,,,,,,,,
10,-109.97,-103.85298200153973,2,2.3,0,0.0,,,,,,,,,
11,-100.01,-103.50362000139975,1,2.1818181818181817,0,0.0,,,,,,,,,
12,-99.9200179623396,-103.20498649814475,2,2.1666666666666665,0,0.0,,,,,,,,,
13,-114.74484594938032,-104.09266799439364,2,2.1538461538461537,0,0.0,,,,,,,,,
14,-99.92046450179231,-103.79465345920782,2,2.142857142857143,0,0.0,,,,,,,,,
15,-100.01,-103.54234322859398,1,2.066666666666667,0,0.0,,,,,,,,,
16,-100.01,-103.32157177680685,1,2.0,0,0.0,,,,,,,,,
17,-89.47210240488799,-102.50689710787044,13,2.6470588235294117,0,0.0,,,,,,,,,
18,-100.01,-102.36818060187764,1,2.5555555555555554,0,0.0,,,,,,,,,
19,-114.74461857678637,-103.01957207424125,2,2.526315789473684,0,0.0,,,,,,,,,
20,-114.63003252394294,-103.60009509672633,3,2.55,0,0.0,,,,,,,,,
21,-100.01,-103.42913818735843,1,2.4761904761904763,0,0.0,,,,,,,,,
22,-100.01,-103.27372281520579,1,2.409090909090909,0,0.0,,,,,,,,,
23,-100.01,-103.13182182324033,1,2.347826086956522,0,0.0,,,,,,,,,
24,-100.01,-103.00174591393863,1,2.2916666666666665,0,0.0,,,,,,,,,
25,-99.96883152979294,-102.88042933857281,2,2.28,0,0.0,,,,,,,,,
26,-110.20039103726093,-103.1619663269839,7,2.4615384615384617,0,0.0,,,,,,,,,
27,-100.01,-103.04522683339191,1,2.4074074074074074,0,0.0,,,,,,,,,
28,-114.74450247066731,-103.46305810615173,2,2.392857142857143,0,0.0,,,,,,,,,
29,-156.8299267303555,-105.30329495526222,5,2.4827586206896552,0,0.0,,,,,,,,,
30,-100.01,-105.12685179008682,1,2.433333333333333,0,0.0,,,,,,,,,
31,-100.01,-104.96179205492273,1,2.3870967741935485,0,0.0,,,,,,,,,
32,-99.8056392525524,-104.80066227984862,3,2.40625,0,0.0,,,,,,,,,
33,-100.01,-104.6554906956108,1,2.3636363636363638,0,0.0,,,,,,,,,
34,-114.28159931024466,-104.93861153721767,3,2.3823529411764706,0,0.0,,,,,,,,,
35,-96.86277575440677,-104.7078733719945,4,2.4285714285714284,0,0.0,,,,,,,,,
36,-98.74386739546514,-104.54220653931313,3,2.4444444444444446,0,0.0,,,,,,,,,
37,-114.74460716602319,-104.81794709679178,2,2.4324324324324325,0,0.0,,,,,,,,,
38,-100.01,-104.69142217319201,1,2.3947368421052633,0,0.0,,,,,,,,,
39,-100.01,-104.57138570721273,1,2.358974358974359,0,0.0,,,,,,,,,
40,-99.80496149865336,-104.45222510199872,3,2.375,0,0.0,,,,,,,,,
41,-100.01,-104.34387814829144,1,2.341463414634146,0,0.0,,,,,,,,,
42,-99.85378247373858,-104.23697110842113,3,2.357142857142857,0,0.0,,,,,,,,,
43,-114.63009459107623,-104.47867165452939,3,2.372093023255814,0,0.0,,,,,,,,,
44,-100.01,-104.37711093510826,1,2.340909090909091,0,0.0,,,,,,,,,
45,-100.01,-104.2800640254392,1,2.311111111111111,0,0.0,,,,,,,,,
46,-99.9202853265494,-104.18528622763725,2,2.3043478260869565,0,0.0,,,,,,,,,
47,-99.92001932018582,-104.09453586790424,2,2.297872340425532,0,0.0,,,,,,,,,
48,-99.74493464176719,-104.00391917569306,2,2.2916666666666665,0,0.0,,,,,,,,,
49,-114.74401854880064,-104.22310487718504,2,2.2857142857142856,0,0.0,,,,,,,,,
50,-100.01,-104.13884277964135,1,2.26,0,0.0,,,,,,,,,
51,-100.01,-104.05788507807975,1,2.235294117647059,0,0.0,,,,,,,,,
52,-111.18427095806027,-104.19493096038708,8,2.3461538461538463,0,0.0,,,,,,,,,
53,-99.67078604549293,-104.10956973557775,4,2.3773584905660377,0,0.0,,,,,,,,,
54,-100.01,-104.0336517775115,1,2.3518518518518516,0,0.0,,,,,,,,,
55,-98.80629326093465,-103.93860889539192,3,2.3636363636363638,0,0.0,,,,,,,,,
56,-99.9204137072083,-103.86685540988863,2,2.357142857142857,0,0.0,,,,,,,,,
57,-113.29572025720701,-104.03227409142052,6,2.4210526315789473,0,0.0,,,,,,,,,
58,-100.01,-103.96292453812018,1,2.396551724137931,0,0.0,,,,,,,,,
59,-99.79470980660672,-103.8922768308064,2,2.389830508474576,0,0.0,,,,,,,,,
